character,story,archetype,Care,Fairness,Loyalty,Authority,Sanctity,Liberty,overall_morality
Randall Pearson,Randall Pearson/This Is Us,Angel-Heroes,0.5209719572558684,0.597019393149156,0.7176103739148184,0.456971056877509,0.477740950251139,0.04228695746361347,0.4687667814853507
Kate Pearson,Kate Pearson/This Is Us,Outcast-Diva-Angels,0.5512010225407414,0.500954641844956,0.5472933569025406,0.2243215884530366,0.4629312092317316,-0.07630813400476981,0.36839894749470603
Kevin Pearson,Kevin Pearson/This Is Us,Diva-Adventurer-Demons,0.030668050001636887,-0.039587606967664286,0.09604297321576687,-0.49210906401108845,-0.14984756693058668,0.3080558149018824,-0.04112956663167555
Beth Pearson,Beth Pearson/This Is Us,Heroes,0.6045387582736463,0.6952491812660707,0.7114352951472055,0.13967762582270662,0.48747765092535084,0.3585968433190543,0.49949589245900566
Toby Damon,Toby Damon/This Is Us,Adventurer-Angels,0.7192601588388353,0.647927496556981,0.6096847676422958,0.04980810819597759,0.5936465929546533,-0.022186671528663836,0.43302340877667994
William H. 'Shakespeare' Hill,William H. 'Shakespeare' Hill/This Is Us,Adventurer-Angel-Heroes,0.7236128874396998,0.7543542899717889,0.5486151416391989,0.12428999172336584,0.6203721286981494,0.1430949832456537,0.48572323711964277
Miguel Rivas,Miguel Rivas/This Is Us,Angels,0.6874981953836512,0.6219816951408871,0.5311932468966889,0.7591355700902976,0.6982643197094346,-0.44266492968858256,0.4759013495887294
Sophie,Sophie/This Is Us,Diva-Angel-Heroes,0.7414785095365756,0.714095163638872,0.6661160302412613,0.47834910705235884,0.6718910798415301,-0.03673182682874966,0.5391996772469747
Jane Villanueva,Jane Villanueva/Jane the Virgin,Diva-Angel-Heroes,0.7236016212310371,0.6847293324247915,0.7295597557799882,0.3738299115326605,0.6713475822290622,-0.0559155308036989,0.5211921120656401
Xiomara Villanueva,Xiomara Villanueva/Jane the Virgin,Adventurers,0.42874746968763455,0.4034531745582563,0.43397609494910677,-0.3703034423085313,0.22644798859631976,0.41590076852794683,0.2563703423351222
Petra Solano,Petra Solano/Jane the Virgin,Diva-Demon-Heroes,-0.3597732793414472,-0.21961064888902027,0.0727338407341939,-0.41632222149671644,-0.49839449537041364,0.6619126285481062,-0.12657569596921622
Alba Villanueva,Alba Villanueva/Jane the Virgin,Angel-Heroes,0.6535743808184301,0.6611150407654751,0.7539048889671313,0.5102783078247071,0.6147030425754693,-0.034953559618526184,0.5264370168887812
Rogelio De La Vega,Rogelio De La Vega/Jane the Virgin,Diva-Adventurers,0.1673205170359056,0.08070603423642365,0.2382009434999463,-0.2941680929483303,0.053122308604048145,0.19902053843650605,0.07403370814408324
Rafael Solano,Rafael Solano/Jane the Virgin,Diva-Adventurer-Heroes,0.31062601014067803,0.3364809929199421,0.4697264746443022,-0.07372977472978084,0.12822145175172317,0.3978209780521962,0.2615243554631768
John Wick,John Wick/John Wick,Heroes,0.20613182156513193,0.4490709724664783,0.5586157643636893,-0.047856063949264185,0.0980023513975983,0.545240356063594,0.3015342003178713
Dr. Alan Grant,Dr. Alan Grant/Jurassic Park,Heroes,0.42585547151479974,0.5915205134357089,0.6838973168073433,0.1517183642403923,0.3377373521392683,0.4000936259190518,0.4318037740094274
Dr. Ellie Sattler,Dr. Ellie Sattler/Jurassic Park,Angel-Heroes,0.7782830757687262,0.8393436685378375,0.7849855571043702,0.23876150807885113,0.6968825070907243,0.21198711841981677,0.5917072391667211
Dr. Ian Malcolm,Dr. Ian Malcolm/Jurassic Park,Adventurer-Demon-Heroes,0.057853761068474285,0.16096582658624836,0.25714862026111374,-0.5854572837438876,-0.15802381761942083,0.7177987368182208,0.07504764056179146
John Hammond,John Hammond/Jurassic Park,Diva-Adventurer-Heroes,0.30067401221625073,0.3202367109238637,0.4304818368186015,-0.09868775694499397,0.2275177981335804,0.3092748639037482,0.2482495775085084
Ray Arnold,Ray Arnold/Jurassic Park,Traditionalist-Heroes,0.17591992522312888,0.3665133329971894,0.4801843842780719,0.1644294799286361,0.07957000522591531,0.3315204971281213,0.2663562707968438
Dennis Nedry,Dennis Nedry/Jurassic Park,Outcast-Demon-Fools,-0.639918489099377,-0.6756090312419923,-0.5117465032556319,-0.47428410274421723,-0.679202094017055,0.09898488159634707,-0.4802958897936544
Jason Bourne,Jason Bourne/The Bourne Identity,Lone Wolf-Heroes,0.18892980891543176,0.4257212345365675,0.5153519444178024,-0.14019896486187067,0.07800635443976328,0.6092015156086282,0.27950198217605376
Marie Kreutz,Marie Kreutz/The Bourne Identity,Adventurer-Angel-Heroes,0.6825445133666381,0.6834970824124995,0.5940466791692933,-0.13747808037024617,0.512871169118449,0.2776050483724168,0.43551440201150843
Alexander Conklin,Alexander Conklin/The Bourne Identity,Traditionalist-Demon-Heroes,-0.5042180180587909,-0.36113476761377156,-0.015815766248352896,-0.08808715201253482,-0.5542253952276283,0.3343364839565298,-0.19819076920075807
Woody,Woody/Toy Story,Brute-Angel-Heroes,0.5778477454020066,0.5608804712047353,0.7720230943477102,0.3434337519902861,0.49788596038603056,0.02969787908166174,0.46362815040207167
Buzz Lightyear,Buzz Lightyear/Toy Story,Brute-Heroes,0.25953720462747815,0.3546951738541415,0.5993050329626772,-0.052860684759885083,0.1635035761175725,0.3668450317779753,0.2818375557633266
Mr. Potato Head,Mr. Potato Head/Toy Story,Brute-Outcast-Demons,-0.27380386241994964,-0.24547235534229964,0.10426436499431448,-0.069524468478751,-0.3835932582220185,0.18311108425480804,-0.11416974920231604
Rex,Rex/Toy Story,Outcast-Adventurer-Angels,0.5536252767497468,0.41075677610220623,0.33291709117198026,0.20280237760871414,0.5665645029454554,-0.4635422549908502,0.2671872949312088
Bo Peep,Bo Peep/Toy Story,Sophisticate-Angel-Heroes,0.7297668131956262,0.701729423716705,0.6483206694684587,0.38396523748302763,0.6769475244037555,0.035497117923447334,0.5293711310318368
Sid Phillips,Sid Phillips/Toy Story,Outcast-Demons,-0.7107255631564767,-0.6332327113797612,-0.37831827016535685,-0.7101465011758806,-0.7881654013165256,0.4558593300650292,-0.460788186188162
Josiah Bartlet,Josiah Bartlet/The West Wing,Angel-Heroes,0.5843661218212389,0.6681768285345429,0.7466464463214145,0.21782017648814564,0.5052963982872699,0.2647677428002123,0.49784561904213737
Leo McGarry,Leo McGarry/The West Wing,Heroes,0.3066826575409508,0.46112602825158056,0.6405672148032989,0.26743371930124027,0.2131948899543973,0.28844992062489266,0.36290907174606013
Josh Lyman,Josh Lyman/The West Wing,Adventurer-Demon-Heroes,0.08960082458442178,0.18081465833143698,0.4363340645738657,-0.3969351783180698,-0.1028421789700135,0.5629850441007626,0.1283262057170673
Toby Ziegler,Toby Ziegler/The West Wing,Outcast-Traditionalist-Heroes,0.01866809198486714,0.20291272616240483,0.4180987367366777,-0.008420579290657546,-0.06990527835629724,0.41774883880174496,0.16318375600645665
Sam Seaborn,Sam Seaborn/The West Wing,Diva-Adventurer-Heroes,0.5773277060946213,0.6167726863834521,0.6865017263520801,0.11917835635850103,0.4601039309101484,0.2386775026049725,0.44976031811729583
C. J. Cregg,C. J. Cregg/The West Wing,Heroes,0.5118267160926271,0.6277780062910192,0.7202280770345677,0.08155285240344536,0.3859822115074215,0.3951448979208954,0.45375212687499605
Charlie Young,Charlie Young/The West Wing,Angel-Heroes,0.7720599411971952,0.853145046211362,0.7893167245910138,0.48093420088450106,0.7255832695280635,0.01765139973178109,0.6064484303573194
