Character,Story,Care_k6,Fairness_k6,Loyalty_k6,Authority_k6,Sanctity_k6,Liberty_k6,Overall_k6,Care_k10,Fairness_k10,Loyalty_k10,Authority_k10,Sanctity_k10,Liberty_k10,Overall_k10,Care_k20,Fairness_k20,Loyalty_k20,Authority_k20,Sanctity_k20,Liberty_k20,Overall_k20,Care_k50,Fairness_k50,Loyalty_k50,Authority_k50,Sanctity_k50,Liberty_k50,Overall_k50,Care_k100,Fairness_k100,Loyalty_k100,Authority_k100,Sanctity_k100,Liberty_k100,Overall_k100,Care_k232,Fairness_k232,Loyalty_k232,Authority_k232,Sanctity_k232,Liberty_k232,Overall_k232,Care_Robust_Avg,Care_Stability_Std,Fairness_Robust_Avg,Fairness_Stability_Std,Loyalty_Robust_Avg,Loyalty_Stability_Std,Authority_Robust_Avg,Authority_Stability_Std,Sanctity_Robust_Avg,Sanctity_Stability_Std,Liberty_Robust_Avg,Liberty_Stability_Std,Robust_Avg
Ennis Del Mar,Ennis Del Mar/Brokeback Mountain,0.1709317262113232,0.3000653393463952,0.43504554896513553,0.2943622778290715,0.13402741147088382,0.015717530501046087,0.22502497238730923,0.16661905589876755,0.2760242198521921,0.3651116563532234,0.2624795851521706,0.11073531546356644,0.03784823960382551,0.20313634538729095,0.14749052704952478,0.2444211170049405,0.30964307829374793,0.25316764006397907,0.10537131388974667,0.06562126453312304,0.1876191568058437,0.1392275858803457,0.23312779414570806,0.2959710730941941,0.2449816663990171,0.10203340820392484,0.03847449126854753,0.17563600316528957,0.13594121390407876,0.22602612978484735,0.28820609755734056,0.23798472264489787,0.09857421787974402,0.04497260070548377,0.17195083041273207,0.13292177602830418,0.22122633283006082,0.2777237389336633,0.23078010850499397,0.09656793815691651,0.044872490256966706,0.16734873078515092,0.14885531416205736,0.01623653847419088,0.25014848882735735,0.03131175999702163,0.32861686553288416,0.060510870566711034,0.25395933343235505,0.022709832879561815,0.10788493417746371,0.01376136819207071,0.041251102811498776,0.01607557862440386,0.1884526731572694
Jack Twist,Jack Twist/Brokeback Mountain,0.5916303300187399,0.5864557707325881,0.6388965724138481,-0.33208544109488164,0.39191823944224685,0.3640069344185811,0.3734704009885204,0.5633595327875933,0.5544804818719846,0.5877937670298752,-0.3132719994611231,0.3619165757490876,0.3508071446912623,0.3508475837781133,0.5361938372718493,0.5213899050369911,0.5391745203123162,-0.29136811329012857,0.3367690685583095,0.3328287894110936,0.3291646678834052,0.5066159671555651,0.49187236175934557,0.5022479932637849,-0.27906454013865256,0.3136027983893012,0.30277060096694447,0.3063408635660481,0.49882926497542274,0.4827169005674398,0.4847093250707264,-0.2732307998666317,0.3096693427522357,0.2969270975995601,0.2999368551831255,0.4858378071867578,0.46553825976443686,0.46597316274518735,-0.2673432759268851,0.3028784731143531,0.28761206064265854,0.2900827479210848,0.5304111232326547,0.041029824470540655,0.5170756132887977,0.046266980428291936,0.5364658901392897,0.06626124569381292,-0.2927273616297171,0.02523540583190902,0.33612574966758896,0.034902689534701464,0.3224921046216834,0.03127681057290424,0.3249738532200495
Billy Costigan,Billy Costigan/The Departed,0.20868539273657055,0.4203615355829298,0.6130242015195445,-0.262370285955864,0.02356001145343918,0.6503002970274123,0.27559352539400545,0.19728149455518015,0.40008758648221204,0.5377579223615591,-0.26223700721596216,0.020808641528062707,0.6221241928395431,0.25263713842509916,0.17864444502955606,0.3705153417533511,0.4881634157049521,-0.24101063795822292,0.008023880899285685,0.5616859336999589,0.22767039652148016,0.1799318183338069,0.3621172626145268,0.4778093784455864,-0.23074445994228132,0.01561912571037519,0.5411366952905181,0.22431163674208868,0.17600250843989235,0.35363435902871737,0.4654383551744039,-0.2219595043101439,0.015131250963729843,0.5255311923702585,0.21896302694447634,0.17151406314584425,0.341367457287478,0.4513510869794256,-0.21459121787575577,0.013296809706760436,0.4982687110795126,0.21020115172054418,0.1853432870401417,0.01442241833560023,0.3746805904582025,0.02986690274121908,0.5055907266975787,0.060342929865940496,-0.23881885220970503,0.020220265219182614,0.016073286710275508,0.005514890473126092,0.5665078370512006,0.05850976788348762,0.23489614595794897
Colin Sullivan,Colin Sullivan/The Departed,-0.49991300582953724,-0.373410243073555,0.03863717911614723,-0.2509339916806831,-0.6053283693935562,0.5079188991321597,-0.19717158862150408,-0.46661316840515094,-0.34151211709134766,0.02204320554597853,-0.22453314903238872,-0.5663174888713361,0.4534561814388897,-0.18724608940255924,-0.45496955778257575,-0.3522768820965223,-0.03180421134981178,-0.186087085948275,-0.539914421024589,0.380907933155031,-0.1973573708411238,-0.44537521498946714,-0.34234024823385056,-0.03331497331315472,-0.17523238414708334,-0.5314289697965894,0.34754233388578026,-0.19669157609906077,-0.4293966901451298,-0.329448821452888,-0.030308397796544904,-0.17161723108330823,-0.5137319268212178,0.3304154914276062,-0.19068126264524712,-0.41382538999037727,-0.3206806963110177,-0.026549596633618718,-0.16665432746561396,-0.49357266535018884,0.3168200609993998,-0.18407710245856942,-0.45168217119037307,0.030098210057035262,-0.3432781680431969,0.018410942320171805,-0.010216132405167395,0.031929277216113765,-0.19584302822622537,0.0341086025647569,-0.5417156402095795,0.03965280442506353,0.3895101500064777,0.07579056701539316,-0.1922041650113441
Frank Costello,Frank Costello/The Departed,-0.5453072072298683,-0.38548514882330154,-0.08794517548357053,-0.7899836845370214,-0.7268038871746506,0.8973252074512349,-0.27303331596619623,-0.5279898847112182,-0.38044620308861987,-0.05055000269366009,-0.7227849773582979,-0.6965497015160939,0.8309763372298066,-0.25789073868968054,-0.5235458592475196,-0.3836926350971972,-0.06743617980663154,-0.6963517406866568,-0.6892688005089646,0.7843519272584828,-0.2626572146814145,-0.5169738934689757,-0.3760160947150424,-0.07130849957634695,-0.6703683904419113,-0.6760461351829664,0.7526176103793011,-0.259682567167657,-0.512512108506924,-0.37235941294743097,-0.06978299036709558,-0.6622676046051651,-0.6652926365755821,0.7351966940207018,-0.25783634316358267,-0.5055875056928266,-0.3659918269570654,-0.070614767317042,-0.6507885465433321,-0.6537175280639888,0.7187326404013302,-0.2546612556954874,-0.5219860764762221,0.013900683052025554,-0.37733188693810954,0.007371397814975516,-0.0696062692073911,0.011900520592735265,-0.6987574906953974,0.05166003986528572,-0.684613114837041,0.025866697059200795,0.7865334027901429,0.067286609752317,-0.2609602392273363
Sgt. Sean Dignam,Sgt. Sean Dignam/The Departed,-0.28574802477065436,-0.12381357558341773,0.26285487971806437,-0.47933087423024895,-0.484326940372723,0.7412105956543613,-0.0615256565974364,-0.2772940119941103,-0.11159108211484846,0.2666556961985595,-0.4705591419147536,-0.45549753653180003,0.7116735904890251,-0.056102080977987946,-0.28722991857453545,-0.11059794446863974,0.26342150936326436,-0.4478030089908216,-0.4495720799390552,0.6622085656243566,-0.061595479497571826,-0.2783776030728161,-0.10844817578155755,0.2542797021055614,-0.43960892288627207,-0.4344546933312019,0.647052748013836,-0.05992615749207503,-0.2735723821701555,-0.10743485897250593,0.25512051259566115,-0.4344180258699034,-0.4243469808761868,0.6225116512033545,-0.06035668068162268,-0.26847380586232417,-0.10314004530863322,0.24765628162493583,-0.42702135036715594,-0.41267364471563583,0.6064242321668785,-0.05953805541032248,-0.2784492910740993,0.007141502467471993,-0.11083761370493377,0.00700773080581564,0.25833143026767447,0.007160296018438894,-0.44979022070985925,0.02081505207822495,-0.4434786459611004,0.02548162968200336,0.665180230525302,0.052062578425025825,-0.05984068510950271
Capt. Oliver Queenan,Capt. Oliver Queenan/The Departed,0.5066085852003691,0.5909107121262123,0.7478797344682816,0.6302040364906809,0.4802972441257789,-0.04915792365395466,0.4844570647928947,0.49067921166237316,0.5669494524314335,0.7443870833145313,0.623889708207733,0.45990622453982444,-0.054557901474494845,0.4718756297802334,0.48476333338486566,0.5516190699267066,0.7103582335119195,0.5918783706938361,0.44891346601572657,-0.04902830691545162,0.4564173611029338,0.47364795308421626,0.5427574872277747,0.6862506697499667,0.5793452606080052,0.4417880792539834,-0.036230222508442766,0.4479265379025839,0.4637715106575734,0.530900888131639,0.6692131576482424,0.5615801276725683,0.43221410987141723,-0.03725172002586282,0.4367380123259296,0.4524449721543874,0.5203836752635302,0.6520976307888712,0.5496621360975009,0.4237196286006075,-0.03883596903798946,0.42657867897781787,0.4786525943572975,0.019477426047425177,0.5505868808512161,0.025518157744389394,0.7016977515803021,0.039456790789918525,0.5894266066283874,0.032603031601666985,0.4478064587345563,0.020311565934437954,-0.04417700726936603,0.007690842367581685,0.4539988808137323
Dr. Madolyn Madden,Dr. Madolyn Madden/The Departed,0.736726715674944,0.751873600750427,0.7904626248069847,0.5674521584265231,0.7095195942863217,-0.09121032855012387,0.577470727565846,0.7233985855054773,0.7299867014625462,0.7285507569609544,0.5259447503474352,0.659691712855213,-0.06009778023687321,0.5512457878157923,0.6922569379017507,0.6854377249698025,0.6667322481196547,0.4927751704145571,0.6070860554722125,-0.058014126101172285,0.5143790017961342,0.6756799841022892,0.6657483396860042,0.6281299762284208,0.4783138350290279,0.5940688729208247,-0.04854797922069689,0.49889883812431157,0.6575110566046716,0.6449129853708021,0.601184611742829,0.46243971531045036,0.5772341651286564,-0.047186910774886584,0.4826826038970871,0.6387661338199494,0.6195864779165416,0.583590920669003,0.4455230640637008,0.5588455802374429,-0.04585732980621812,0.4667424744834032,0.6873899022681803,0.03781156680493171,0.6829243050260206,0.05045145462580248,0.6664418564213077,0.07978638548841452,0.49540811559861564,0.044715569506622685,0.6177409968167785,0.05650936959810943,-0.05848574244832849,0.017085778673253813,0.5152365722804291
Rick Sanchez,Rick Sanchez/Rick and Morty,-0.5666749883945819,-0.37483637955544225,-0.1992655276486145,-0.8763348553177245,-0.7251665222587916,0.9109206162219241,-0.30522627615887177,-0.5374095022022526,-0.3488171185071259,-0.17433844126518996,-0.8403233693085861,-0.6938868357298672,0.8664055298506984,-0.2880616228603872,-0.5130754788753124,-0.33647515054610716,-0.16399361582684704,-0.8216440950203023,-0.6643423481379807,0.8258467019945817,-0.2789473310686613,-0.5074533184743154,-0.33132142845223317,-0.16994949242268534,-0.8005155499972925,-0.6523208466831546,0.8004744976463113,-0.2768476897305616,-0.4998994380418042,-0.3260003837719295,-0.1645665927264107,-0.7848775374994279,-0.639342866794345,0.7780740151796863,-0.2727688006090386,-0.4930493443634693,-0.32046974306003406,-0.16253999605259348,-0.7694084167118928,-0.6302220234821214,0.7582598350119093,-0.269571614776367,-0.519593678391956,0.02762749849500291,-0.3396533673154787,0.019777544602140703,-0.1724422776570568,0.01386187314604524,-0.8155173039758711,0.03909355546352635,-0.6675469071810435,0.03590133376877083,0.8233301993175184,0.05716389705438083,-0.28190388920064796
Morty Smith,Morty Smith/Rick and Morty,0.35904838485052837,0.19576011072314137,0.17396400064820358,0.28113696731311727,0.38369352821685543,-0.5904636572969948,0.1338565557424752,0.358125005826469,0.202881489164694,0.14804008168454494,0.25407563142339323,0.36919780850504647,-0.5579358072190377,0.12906403489751836,0.35347205194815745,0.20149960122427454,0.14169579140108934,0.2506802639876686,0.3606250181989359,-0.5385984110661983,0.12822905261565457,0.3361303680744643,0.1933248384360736,0.13960705157645603,0.2361157188952375,0.33766835025093367,-0.5165708820514817,0.12104590753028056,0.32737586997055634,0.1900764667523096,0.1414267429479844,0.23109411369218563,0.3265083452029139,-0.5076116350763517,0.11814498391493301,0.32198510558982546,0.18720813168377504,0.13821186776229918,0.22922608837313535,0.3202447900182938,-0.493746447655957,0.11718825596189535,0.34268946437666686,0.016299280992523764,0.19512510633071134,0.006206562720847505,0.1471575893367629,0.01355782336602434,0.24705479728078958,0.019577028134360876,0.3496563067321632,0.025319130743943728,-0.5341544733943369,0.035784181161114766,0.1245881317771262
Summer Smith,Summer Smith/Rick and Morty,-0.3656192789189904,-0.3413477972263351,0.06739730109063906,-0.5896472440120378,-0.5572692344055058,0.5783513710847991,-0.20135581373123856,-0.22643884851660862,-0.2245970716937327,-0.014190043925685392,-0.5163025179112071,-0.44191100784844634,0.5167385163539223,-0.1511168289236263,-0.21671123373281137,-0.22141304038101187,-0.0235439186001011,-0.5109599248621907,-0.4239227172778396,0.4967761943220483,-0.14996244008865103,-0.21536400622470583,-0.21051405645175963,-0.01956618707697232,-0.49441136637115407,-0.41052664228885893,0.4562261013935098,-0.14902602616999017,-0.21000953671337247,-0.19790191180182104,-0.02186839528714037,-0.4742553025799681,-0.40342072052005945,0.4430820050027232,-0.14406231031660638,-0.20538461985725376,-0.18839747267839568,-0.018461366307659228,-0.45515272653447975,-0.389598555438081,0.42952036530410703,-0.13791239591862703,-0.23992125399395706,0.06198551784763799,-0.23069522503884266,0.05592695051815029,-0.0050387683511532244,0.03563037737688195,-0.5067881803785063,0.04658614440679706,-0.43777481296313187,0.06120706442993809,0.4867824255768516,0.05568567827089231,-0.15557263585812323
Jyn Erso,Jyn Erso/Rogue One,0.271131175878509,0.49242335809041865,0.6296442918117205,-0.3545240110971792,0.0699070248446808,0.7727327464879354,0.3135524310026809,0.2582391940396129,0.47619987330262686,0.5660233304469048,-0.35563671256634194,0.07833033981080817,0.7383435877265518,0.29358326879336044,0.25002739719336203,0.4475859222344649,0.5220286559362655,-0.36828812812033923,0.08376332551222072,0.7268869003574877,0.2770006788522436,0.25250667393174736,0.43615549791053415,0.5089385852658885,-0.365329898701224,0.08139480715974506,0.7091323032012323,0.27046632812798727,0.24772615260737063,0.4310082055992126,0.5045674544155622,-0.3568417060472341,0.07647509305431165,0.6876837663116689,0.26510316099014863,0.2410268848866985,0.424425703437699,0.49218078212504485,-0.3483093129437705,0.0732145314417639,0.6696467207331097,0.2586975516134243,0.2534429130895501,0.010346597032701474,0.451299760095826,0.027159783959681844,0.5372305166668977,0.05195616639415772,-0.3581549615793482,0.007380346922654567,0.07718085363725506,0.005129250506656396,0.7174043374696644,0.03693814532968978,0.27973390322997416
Cassian Andor,Cassian Andor/Rogue One,0.0775759106944138,0.3164035456340761,0.4995639138886207,-0.3749033663751233,-0.11096211116669276,0.7975509460698923,0.20087147312419776,0.08541842993524308,0.3204681541220027,0.4620346680095378,-0.38342493844176095,-0.11397532959003917,0.789023991319445,0.19325749589240473,0.08571457397415766,0.2967098114445745,0.423178832856004,-0.3726902205812372,-0.11492914824776387,0.7454190568872786,0.17723381772216895,0.08790166900432425,0.2878500831064204,0.4104198032729183,-0.3654193233735642,-0.11168343183063066,0.7104760304794779,0.16992413844315768,0.08273846463196913,0.28119110965292066,0.40176800563270704,-0.3563175205237425,-0.11369187159099675,0.6820473460614749,0.1629559223107221,0.08120579410159147,0.27566197855693325,0.3862337018262431,-0.3410564180245228,-0.10618431482505887,0.6517913681009477,0.15794201828935564,0.0834258070569499,0.003711186459662371,0.29638078041948795,0.018514797354560894,0.4305331542476718,0.04244078070945558,-0.36563529788665844,0.015120378924257006,-0.11190436787519703,0.0031714039666214115,0.7293847898197527,0.058445993514048424,0.1770308109636678
Robin Hood,Robin Hood/Robin Hood,0.48511825130239405,0.5447531163228346,0.5452287006520602,-0.42339495050003134,0.2919166593491858,0.5870217283946026,0.33844058425350765,0.46541317476371213,0.529835322078496,0.5512544894492039,-0.3984292474630909,0.289954832519789,0.5540229620489548,0.3320085888995108,0.44373358354999004,0.49063806767376017,0.502039268118636,-0.3914662015401926,0.28115098635203567,0.5451938433391755,0.3118815912489008,0.4424663636275481,0.4833777433408467,0.49561429528118855,-0.38357273687211874,0.27357870928846834,0.5200788678597544,0.30525720708761456,0.4367150549886334,0.4768063190333059,0.487304145921704,-0.3775784987873712,0.2682682957458072,0.5079958236175488,0.299918523419938,0.4298511539894893,0.47012719344899323,0.47591032363618824,-0.37102644694379405,0.2660853601630851,0.491312073673045,0.2937099429945011,0.45054959703696124,0.020724548733539207,0.4992562936497061,0.03060701184585806,0.5095585371764969,0.031270927367368744,-0.3909113470177665,0.018649613816893378,0.2784924739030618,0.010966106705913168,0.5342708831555135,0.034725664046219774,0.31353607298399555
