114	My Little Pony: Friendship Is Magic	Lucifer	https://compstorylab.org/archetypometrics/cards/Lucifer-1600-364-241.pdf
115	NCIS	Lilo \& Stitch	https://compstorylab.org/archetypometrics/cards/Lilo-and-Stitch-1600-364-241.pdf
116	New Girl	Alien	https://compstorylab.org/archetypometrics/cards/Alien-1600-364-241.pdf
117	Ocean's 11	The Vampire Diaries	https://compstorylab.org/archetypometrics/cards/The-Vampire-Diaries-1600-364-241.pdf
118	Once Upon a Time	Inception	https://compstorylab.org/archetypometrics/cards/Inception-1600-364-241.pdf
119	One Flew Over the Cuckoo's Nest	Vikings	https://compstorylab.org/archetypometrics/cards/Vikings-1600-364-241.pdf
120	Orange is the New Black	Yellowstone	https://compstorylab.org/archetypometrics/cards/Yellowstone-1600-364-241.pdf
121	Outer Banks	Independence Day	https://compstorylab.org/archetypometrics/cards/Independence-Day-1600-364-241.pdf
122	Outlander	Gladiator	https://compstorylab.org/archetypometrics/cards/Gladiator-1600-364-241.pdf
123	Ozark	30 Rock	https://compstorylab.org/archetypometrics/cards/30-Rock-1600-364-241.pdf
124	Parasite	Arrow	https://compstorylab.org/archetypometrics/cards/Arrow-1600-364-241.pdf
125	Parks and Recreation	Farscape	https://compstorylab.org/archetypometrics/cards/Farscape-1600-364-241.pdf
126	Peaky Blinders	The Wire	https://compstorylab.org/archetypometrics/cards/The-Wire-1600-364-241.pdf
127	Penny Arcade	NCIS	https://compstorylab.org/archetypometrics/cards/NCIS-1600-364-241.pdf
128	Pirates of the Caribbean	Breaking Bad	https://compstorylab.org/archetypometrics/cards/Breaking-Bad-1600-364-241.pdf
129	Pokémon	The Breakfast Club	https://compstorylab.org/archetypometrics/cards/The-Breakfast-Club-1600-364-241.pdf
130	Pride and Prejudice	Boston Legal	https://compstorylab.org/archetypometrics/cards/Boston-Legal-1600-364-241.pdf
131	Prison Break	This Is Us	https://compstorylab.org/archetypometrics/cards/This-Is-Us-1600-364-241.pdf
132	Psych	The Bourne Identity	https://compstorylab.org/archetypometrics/cards/The-Bourne-Identity-1600-364-241.pdf
133	Psycho	Dark	https://compstorylab.org/archetypometrics/cards/Dark-1600-364-241.pdf
134	Pulp Fiction	Hannibal	https://compstorylab.org/archetypometrics/cards/Hannibal-1600-364-241.pdf
