index	differential	flipped differential	left pole	right pole	card url
61	political :: nonpolitical	nonpolitical :: political	political	nonpolitical	https://compstorylab.org/archetypometrics/cards/political--nonpolitical-1600-364-241.pdf
62	confident :: insecure	insecure :: confident	confident	insecure	https://compstorylab.org/archetypometrics/cards/confident--insecure-1600-364-241.pdf
63	democratic :: authoritarian	authoritarian :: democratic	democratic	authoritarian	https://compstorylab.org/archetypometrics/cards/democratic--authoritarian-1600-364-241.pdf
64	debased :: pure	pure :: debased	debased	pure	https://compstorylab.org/archetypometrics/cards/debased--pure-1600-364-241.pdf
65	fast :: slow	slow :: fast	fast	slow	https://compstorylab.org/archetypometrics/cards/fast--slow-1600-364-241.pdf
66	frugal :: lavish	lavish :: frugal	frugal	lavish	https://compstorylab.org/archetypometrics/cards/frugal--lavish-1600-364-241.pdf
67	ludicrous :: sensible	sensible :: ludicrous	ludicrous	sensible	https://compstorylab.org/archetypometrics/cards/ludicrous--sensible-1600-364-241.pdf
68	orange :: purple	purple :: orange	orange	purple	https://compstorylab.org/archetypometrics/cards/orange--purple-1600-364-241.pdf
69	tall :: short	short :: tall	tall	short	https://compstorylab.org/archetypometrics/cards/tall--short-1600-364-241.pdf
70	young :: old	old :: young	young	old	https://compstorylab.org/archetypometrics/cards/young--old-1600-364-241.pdf
71	down2earth :: head@clouds	head@clouds :: down2earth	down2earth	head@clouds	https://compstorylab.org/archetypometrics/cards/down2earth--headclouds-1600-364-241.pdf
72	extrovert :: introvert	introvert :: extrovert	extrovert	introvert	https://compstorylab.org/archetypometrics/cards/extrovert--introvert-1600-364-241.pdf
73	open to new experiences :: uncreative	uncreative :: open to new experiences	open to new experiences	uncreative	https://compstorylab.org/archetypometrics/cards/open-to-new-experiences--uncreative-1600-364-241.pdf
74	calm :: anxious	anxious :: calm	calm	anxious	https://compstorylab.org/archetypometrics/cards/calm--anxious-1600-364-241.pdf
75	disorganized :: self-disciplined	self-disciplined :: disorganized	disorganized	self-disciplined	https://compstorylab.org/archetypometrics/cards/disorganized--self-disciplined-1600-364-241.pdf
76	quarrelsome :: warm	warm :: quarrelsome	quarrelsome	warm	https://compstorylab.org/archetypometrics/cards/quarrelsome--warm-1600-364-241.pdf
77	nerd :: jock	jock :: nerd	nerd	jock	https://compstorylab.org/archetypometrics/cards/nerd--jock-1600-364-241.pdf
78	lowbrow :: highbrow	highbrow :: lowbrow	lowbrow	highbrow	https://compstorylab.org/archetypometrics/cards/lowbrow--highbrow-1600-364-241.pdf
79	selfish :: altruistic	altruistic :: selfish	selfish	altruistic	https://compstorylab.org/archetypometrics/cards/selfish--altruistic-1600-364-241.pdf
80	autistic :: neurotypical	neurotypical :: autistic	autistic	neurotypical	https://compstorylab.org/archetypometrics/cards/autistic--neurotypical-1600-364-241.pdf
81	angelic :: demonic	demonic :: angelic	angelic	demonic	https://compstorylab.org/archetypometrics/cards/angelic--demonic-1600-364-241.pdf
82	hesitant :: decisive	decisive :: hesitant	hesitant	decisive	https://compstorylab.org/archetypometrics/cards/hesitant--decisive-1600-364-241.pdf
83	devout :: heathen	heathen :: devout	devout	heathen	https://compstorylab.org/archetypometrics/cards/devout--heathen-1600-364-241.pdf
84	cruel :: kind	kind :: cruel	cruel	kind	https://compstorylab.org/archetypometrics/cards/cruel--kind-1600-364-241.pdf
85	direct :: roundabout	roundabout :: direct	direct	roundabout	https://compstorylab.org/archetypometrics/cards/direct--roundabout-1600-364-241.pdf
86	mathematical :: literary	literary :: mathematical	mathematical	literary	https://compstorylab.org/archetypometrics/cards/mathematical--literary-1600-364-241.pdf
87	blue-collar :: ivory-tower	ivory-tower :: blue-collar	blue-collar	ivory-tower	https://compstorylab.org/archetypometrics/cards/blue-collar--ivory-tower-1600-364-241.pdf
88	slovenly :: stylish	stylish :: slovenly	slovenly	stylish	https://compstorylab.org/archetypometrics/cards/slovenly--stylish-1600-364-241.pdf
89	playful :: shy	shy :: playful	playful	shy	https://compstorylab.org/archetypometrics/cards/playful--shy-1600-364-241.pdf
90	serious :: bold	bold :: serious	serious	bold	https://compstorylab.org/archetypometrics/cards/serious--bold-1600-364-241.pdf
91	charming :: trusting	trusting :: charming	charming	trusting	https://compstorylab.org/archetypometrics/cards/charming--trusting-1600-364-241.pdf
92	awkward :: suspicious	suspicious :: awkward	awkward	suspicious	https://compstorylab.org/archetypometrics/cards/awkward--suspicious-1600-364-241.pdf
93	hipster :: basic	basic :: hipster	hipster	basic	https://compstorylab.org/archetypometrics/cards/hipster--basic-1600-364-241.pdf
94	coordinated :: clumsy	clumsy :: coordinated	coordinated	clumsy	https://compstorylab.org/archetypometrics/cards/coordinated--clumsy-1600-364-241.pdf
95	funny :: humorless	humorless :: funny	funny	humorless	https://compstorylab.org/archetypometrics/cards/funny--humorless-1600-364-241.pdf
96	politically correct :: edgy	edgy :: politically correct	politically correct	edgy	https://compstorylab.org/archetypometrics/cards/politically-correct--edgy-1600-364-241.pdf
97	rich :: poor	poor :: rich	rich	poor	https://compstorylab.org/archetypometrics/cards/rich--poor-1600-364-241.pdf
98	hard :: soft	soft :: hard	hard	soft	https://compstorylab.org/archetypometrics/cards/hard--soft-1600-364-241.pdf
99	remote :: involved	involved :: remote	remote	involved	https://compstorylab.org/archetypometrics/cards/remote--involved-1600-364-241.pdf
100	metaphorical :: literal	literal :: metaphorical	metaphorical	literal	https://compstorylab.org/archetypometrics/cards/metaphorical--literal-1600-364-241.pdf
101	biased :: impartial	impartial :: biased	biased	impartial	https://compstorylab.org/archetypometrics/cards/biased--impartial-1600-364-241.pdf
102	mundane :: extraordinary	extraordinary :: mundane	mundane	extraordinary	https://compstorylab.org/archetypometrics/cards/mundane--extraordinary-1600-364-241.pdf
103	tiresome :: interesting	interesting :: tiresome	tiresome	interesting	https://compstorylab.org/archetypometrics/cards/tiresome--interesting-1600-364-241.pdf
104	smooth :: rough	rough :: smooth	smooth	rough	https://compstorylab.org/archetypometrics/cards/smooth--rough-1600-364-241.pdf
