index	character	character in latex	character/story	character/story in latex	card url
562	Rachel Dawes	Rachel Dawes	Rachel Dawes/The Dark Knight	Rachel Dawes/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-Rachel-Dawes-0800-235-090.pdf
563	Lucius Fox	Lucius Fox	Lucius Fox/The Dark Knight	Lucius Fox/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-Lucius-Fox-0800-235-090.pdf
564	Anthony Garcia	Anthony Garcia	Anthony Garcia/The Dark Knight	Anthony Garcia/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-Anthony-Garcia-0800-235-090.pdf
565	Lau	Lau	Lau/The Dark Knight	Lau/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-Lau-0800-235-090.pdf
566	Sal Maroni	Sal Maroni	Sal Maroni/The Dark Knight	Sal Maroni/The Dark Knight	https://compstorylab.org/archetypometrics/cards/The-Dark-Knight-Sal-Maroni-0800-235-090.pdf
567	Susan Mayer	Susan Mayer	Susan Mayer/Desperate Housewives	Susan Mayer/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Susan-Mayer-0800-235-090.pdf
568	Lynette Scavo	Lynette Scavo	Lynette Scavo/Desperate Housewives	Lynette Scavo/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Lynette-Scavo-0800-235-090.pdf
569	Bree Van de Kamp	Bree Van de Kamp	Bree Van de Kamp/Desperate Housewives	Bree Van de Kamp/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Bree-Van-de-Kamp-0800-235-090.pdf
570	Gabrielle Solis	Gabrielle Solis	Gabrielle Solis/Desperate Housewives	Gabrielle Solis/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Gabrielle-Solis-0800-235-090.pdf
571	Edie Britt	Edie Britt	Edie Britt/Desperate Housewives	Edie Britt/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Edie-Britt-0800-235-090.pdf
572	Carlos Solis	Carlos Solis	Carlos Solis/Desperate Housewives	Carlos Solis/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Carlos-Solis-0800-235-090.pdf
573	Julie Mayer	Julie Mayer	Julie Mayer/Desperate Housewives	Julie Mayer/Desperate Housewives	https://compstorylab.org/archetypometrics/cards/Desperate-Housewives-Julie-Mayer-0800-235-090.pdf
