index	character	character in latex	character/story	character/story in latex	card url
563	Joyce Byers	Joyce Byers	Joyce Byers/Stranger Things	Joyce Byers/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Joyce-Byers-2000-464-341.pdf
564	Jim Hopper	Jim Hopper	Jim Hopper/Stranger Things	Jim Hopper/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Jim-Hopper-2000-464-341.pdf
565	Mike Wheeler	Mike Wheeler	Mike Wheeler/Stranger Things	Mike Wheeler/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Mike-Wheeler-2000-464-341.pdf
566	Eleven	Eleven	Eleven/Stranger Things	Eleven/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Eleven-2000-464-341.pdf
567	Dustin Henderson	Dustin Henderson	Dustin Henderson/Stranger Things	Dustin Henderson/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Dustin-Henderson-2000-464-341.pdf
568	Lucas Sinclair	Lucas Sinclair	Lucas Sinclair/Stranger Things	Lucas Sinclair/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Lucas-Sinclair-2000-464-341.pdf
569	Nancy Wheeler	Nancy Wheeler	Nancy Wheeler/Stranger Things	Nancy Wheeler/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Nancy-Wheeler-2000-464-341.pdf
570	Jonathan Byers	Jonathan Byers	Jonathan Byers/Stranger Things	Jonathan Byers/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Jonathan-Byers-2000-464-341.pdf
571	Steve Harrington	Steve Harrington	Steve Harrington/Stranger Things	Steve Harrington/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Steve-Harrington-2000-464-341.pdf
572	Karen Wheeler	Karen Wheeler	Karen Wheeler/Stranger Things	Karen Wheeler/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Karen-Wheeler-2000-464-341.pdf
573	Will Byers	Will Byers	Will Byers/Stranger Things	Will Byers/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Will-Byers-2000-464-341.pdf
574	Max Mayfield	Max Mayfield	Max Mayfield/Stranger Things	Max Mayfield/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Max-Mayfield-2000-464-341.pdf
575	Erica Sinclair	Erica Sinclair	Erica Sinclair/Stranger Things	Erica Sinclair/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Erica-Sinclair-2000-464-341.pdf
576	Billy Hargrove	Billy Hargrove	Billy Hargrove/Stranger Things	Billy Hargrove/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Billy-Hargrove-2000-464-341.pdf
577	Robin Buckley	Robin Buckley	Robin Buckley/Stranger Things	Robin Buckley/Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-Robin-Buckley-2000-464-341.pdf
578	Katniss Everdeen	Katniss Everdeen	Katniss Everdeen/The Hunger Games	Katniss Everdeen/The Hunger Games	https://compstorylab.org/archetypometrics/cards/The-Hunger-Games-Katniss-Everdeen-2000-464-341.pdf
579	Peeta Mellark	Peeta Mellark	Peeta Mellark/The Hunger Games	Peeta Mellark/The Hunger Games	https://compstorylab.org/archetypometrics/cards/The-Hunger-Games-Peeta-Mellark-2000-464-341.pdf
580	Haymitch Abernathy	Haymitch Abernathy	Haymitch Abernathy/The Hunger Games	Haymitch Abernathy/The Hunger Games	https://compstorylab.org/archetypometrics/cards/The-Hunger-Games-Haymitch-Abernathy-2000-464-341.pdf
581	Effie Trinket	Effie Trinket	Effie Trinket/The Hunger Games	Effie Trinket/The Hunger Games	https://compstorylab.org/archetypometrics/cards/The-Hunger-Games-Effie-Trinket-2000-464-341.pdf
582	Coriolanus Snow	Coriolanus Snow	Coriolanus Snow/The Hunger Games	Coriolanus Snow/The Hunger Games	https://compstorylab.org/archetypometrics/cards/The-Hunger-Games-Coriolanus-Snow-2000-464-341.pdf
583	Gale Hawthorne	Gale Hawthorne	Gale Hawthorne/The Hunger Games	Gale Hawthorne/The Hunger Games	https://compstorylab.org/archetypometrics/cards/The-Hunger-Games-Gale-Hawthorne-2000-464-341.pdf
584	Obi-Wan Kenobi	Obi-Wan Kenobi	Obi-Wan Kenobi/Star Wars: Revenge of the Sith	Obi-Wan Kenobi/Star Wars: Revenge of the Sith	https://compstorylab.org/archetypometrics/cards/Star-Wars-Revenge-of-the-Sith-Obi-Wan-Kenobi-2000-464-341.pdf
585	Padme Amidala	Padme Amidala	Padme Amidala/Star Wars: Revenge of the Sith	Padme Amidala/Star Wars: Revenge of the Sith	https://compstorylab.org/archetypometrics/cards/Star-Wars-Revenge-of-the-Sith-Padme-Amidala-2000-464-341.pdf
586	Anakin Skywalker	Anakin Skywalker	Anakin Skywalker/Star Wars: Revenge of the Sith	Anakin Skywalker/Star Wars: Revenge of the Sith	https://compstorylab.org/archetypometrics/cards/Star-Wars-Revenge-of-the-Sith-Anakin-Skywalker-2000-464-341.pdf
587	Palpatine	Palpatine	Palpatine/Star Wars: Revenge of the Sith	Palpatine/Star Wars: Revenge of the Sith	https://compstorylab.org/archetypometrics/cards/Star-Wars-Revenge-of-the-Sith-Palpatine-2000-464-341.pdf
588	Mace Windu	Mace Windu	Mace Windu/Star Wars: Revenge of the Sith	Mace Windu/Star Wars: Revenge of the Sith	https://compstorylab.org/archetypometrics/cards/Star-Wars-Revenge-of-the-Sith-Mace-Windu-2000-464-341.pdf
589	Yoda	Yoda	Yoda/Star Wars: Revenge of the Sith	Yoda/Star Wars: Revenge of the Sith	https://compstorylab.org/archetypometrics/cards/Star-Wars-Revenge-of-the-Sith-Yoda-2000-464-341.pdf
590	Leslie Knope	Leslie Knope	Leslie Knope/Parks and Recreation	Leslie Knope/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Leslie-Knope-2000-464-341.pdf
591	Ann Perkins	Ann Perkins	Ann Perkins/Parks and Recreation	Ann Perkins/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Ann-Perkins-2000-464-341.pdf
592	Mark Brendanawicz	Mark Brendanawicz	Mark Brendanawicz/Parks and Recreation	Mark Brendanawicz/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Mark-Brendanawicz-2000-464-341.pdf
593	Tom Haverford	Tom Haverford	Tom Haverford/Parks and Recreation	Tom Haverford/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Tom-Haverford-2000-464-341.pdf
594	Ron Swanson	Ron Swanson	Ron Swanson/Parks and Recreation	Ron Swanson/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Ron-Swanson-2000-464-341.pdf
595	April Ludgate	April Ludgate	April Ludgate/Parks and Recreation	April Ludgate/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-April-Ludgate-2000-464-341.pdf
596	Jerry Gergich	Jerry Gergich	Jerry Gergich/Parks and Recreation	Jerry Gergich/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Jerry-Gergich-2000-464-341.pdf
597	Donna Meagle	Donna Meagle	Donna Meagle/Parks and Recreation	Donna Meagle/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Donna-Meagle-2000-464-341.pdf
598	Ben Wyatt	Ben Wyatt	Ben Wyatt/Parks and Recreation	Ben Wyatt/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Ben-Wyatt-2000-464-341.pdf
599	Chris Traeger	Chris Traeger	Chris Traeger/Parks and Recreation	Chris Traeger/Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-Chris-Traeger-2000-464-341.pdf
600	Hester Prynne	Hester Prynne	Hester Prynne/The Scarlet Letter	Hester Prynne/The Scarlet Letter	https://compstorylab.org/archetypometrics/cards/The-Scarlet-Letter-Hester-Prynne-2000-464-341.pdf
601	Mr. Darcy	Mr. Darcy	Mr. Darcy/Pride and Prejudice	Mr. Darcy/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Mr-Darcy-2000-464-341.pdf
602	Elizabeth Bennet	Elizabeth Bennet	Elizabeth Bennet/Pride and Prejudice	Elizabeth Bennet/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Elizabeth-Bennet-2000-464-341.pdf
603	Mr. William Collins	Mr. William Collins	Mr. William Collins/Pride and Prejudice	Mr. William Collins/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Mr-William-Collins-2000-464-341.pdf
604	George Wickham	George Wickham	George Wickham/Pride and Prejudice	George Wickham/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-George-Wickham-2000-464-341.pdf
605	Charles Bingley	Charles Bingley	Charles Bingley/Pride and Prejudice	Charles Bingley/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Charles-Bingley-2000-464-341.pdf
606	Georgiana Darcy	Georgiana Darcy	Georgiana Darcy/Pride and Prejudice	Georgiana Darcy/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Georgiana-Darcy-2000-464-341.pdf
607	Lydia Bennet	Lydia Bennet	Lydia Bennet/Pride and Prejudice	Lydia Bennet/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Lydia-Bennet-2000-464-341.pdf
608	Jane Bennet	Jane Bennet	Jane Bennet/Pride and Prejudice	Jane Bennet/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Jane-Bennet-2000-464-341.pdf
609	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet/Pride and Prejudice	Mrs. Bennet/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Mrs-Bennet-2000-464-341.pdf
610	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh/Pride and Prejudice	Lady Catherine de Bourgh/Pride and Prejudice	https://compstorylab.org/archetypometrics/cards/Pride-and-Prejudice-Lady-Catherine-de-Bourgh-2000-464-341.pdf
611	Abbi Abrams	Abbi Abrams	Abbi Abrams/Broad City	Abbi Abrams/Broad City	https://compstorylab.org/archetypometrics/cards/Broad-City-Abbi-Abrams-2000-464-341.pdf
612	Ilana Wexler	Ilana Wexler	Ilana Wexler/Broad City	Ilana Wexler/Broad City	https://compstorylab.org/archetypometrics/cards/Broad-City-Ilana-Wexler-2000-464-341.pdf
613	Lincoln Rice	Lincoln Rice	Lincoln Rice/Broad City	Lincoln Rice/Broad City	https://compstorylab.org/archetypometrics/cards/Broad-City-Lincoln-Rice-2000-464-341.pdf
614	Jadzia Dax	Jadzia Dax	Jadzia Dax/Star Trek: Deep Space Nine	Jadzia Dax/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Jadzia-Dax-2000-464-341.pdf
615	Odo	Odo	Odo/Star Trek: Deep Space Nine	Odo/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Odo-2000-464-341.pdf
616	Lieutenant Commander Worf	Lieutenant Commander Worf	Lieutenant Commander Worf/Star Trek: Deep Space Nine	Lieutenant Commander Worf/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Lieutenant-Commander-Worf-2000-464-341.pdf
617	Nog	Nog	Nog/Star Trek: Deep Space Nine	Nog/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Nog-2000-464-341.pdf
618	Quark	Quark	Quark/Star Trek: Deep Space Nine	Quark/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Quark-2000-464-341.pdf
619	Benjamin Sisko	Benjamin Sisko	Benjamin Sisko/Star Trek: Deep Space Nine	Benjamin Sisko/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Benjamin-Sisko-2000-464-341.pdf
620	Elim Garak	Elim Garak	Elim Garak/Star Trek: Deep Space Nine	Elim Garak/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Elim-Garak-2000-464-341.pdf
621	Kira Nerys	Kira Nerys	Kira Nerys/Star Trek: Deep Space Nine	Kira Nerys/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Kira-Nerys-2000-464-341.pdf
622	Julian Bashir	Julian Bashir	Julian Bashir/Star Trek: Deep Space Nine	Julian Bashir/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Julian-Bashir-2000-464-341.pdf
623	Dukat	Dukat	Dukat/Star Trek: Deep Space Nine	Dukat/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Dukat-2000-464-341.pdf
624	Rom	Rom	Rom/Star Trek: Deep Space Nine	Rom/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Rom-2000-464-341.pdf
625	Miles O'Brien	Miles O'Brien	Miles O'Brien/Star Trek: Deep Space Nine	Miles O'Brien/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Miles-OBrien-2000-464-341.pdf
626	Jake Sisko	Jake Sisko	Jake Sisko/Star Trek: Deep Space Nine	Jake Sisko/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Jake-Sisko-2000-464-341.pdf
627	Winn Adami	Winn Adami	Winn Adami/Star Trek: Deep Space Nine	Winn Adami/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Winn-Adami-2000-464-341.pdf
628	Kasidy Yates	Kasidy Yates	Kasidy Yates/Star Trek: Deep Space Nine	Kasidy Yates/Star Trek: Deep Space Nine	https://compstorylab.org/archetypometrics/cards/Star-Trek-Deep-Space-Nine-Kasidy-Yates-2000-464-341.pdf
629	Rapunzel	Rapunzel	Rapunzel/Tangled	Rapunzel/Tangled	https://compstorylab.org/archetypometrics/cards/Tangled-Rapunzel-2000-464-341.pdf
630	Flynn Rider	Flynn Rider	Flynn Rider/Tangled	Flynn Rider/Tangled	https://compstorylab.org/archetypometrics/cards/Tangled-Flynn-Rider-2000-464-341.pdf
631	Rintarou Okabe	Rintarou Okabe	Rintarou Okabe/Steins;Gate	Rintarou Okabe/Steins;Gate	https://compstorylab.org/archetypometrics/cards/SteinsGate-Rintarou-Okabe-2000-464-341.pdf
632	Kurisu Makise	Kurisu Makise	Kurisu Makise/Steins;Gate	Kurisu Makise/Steins;Gate	https://compstorylab.org/archetypometrics/cards/SteinsGate-Kurisu-Makise-2000-464-341.pdf
633	Mayuri Shiina	Mayuri Shiina	Mayuri Shiina/Steins;Gate	Mayuri Shiina/Steins;Gate	https://compstorylab.org/archetypometrics/cards/SteinsGate-Mayuri-Shiina-2000-464-341.pdf
634	Itaru Hashida	Itaru Hashida	Itaru Hashida/Steins;Gate	Itaru Hashida/Steins;Gate	https://compstorylab.org/archetypometrics/cards/SteinsGate-Itaru-Hashida-2000-464-341.pdf
635	Suzuha Amane	Suzuha Amane	Suzuha Amane/Steins;Gate	Suzuha Amane/Steins;Gate	https://compstorylab.org/archetypometrics/cards/SteinsGate-Suzuha-Amane-2000-464-341.pdf
636	Hazel Grace Lancaster	Hazel Grace Lancaster	Hazel Grace Lancaster/The Fault in Our Stars	Hazel Grace Lancaster/The Fault in Our Stars	https://compstorylab.org/archetypometrics/cards/The-Fault-in-Our-Stars-Hazel-Grace-Lancaster-2000-464-341.pdf
637	Augustus 'Gus' Waters	Augustus `Gus' Waters	Augustus 'Gus' Waters/The Fault in Our Stars	Augustus 'Gus' Waters/The Fault in Our Stars	https://compstorylab.org/archetypometrics/cards/The-Fault-in-Our-Stars-Augustus-Gus-Waters-2000-464-341.pdf
638	Patrick Jane	Patrick Jane	Patrick Jane/The Mentalist	Patrick Jane/The Mentalist	https://compstorylab.org/archetypometrics/cards/The-Mentalist-Patrick-Jane-2000-464-341.pdf
639	Teresa Lisbon	Teresa Lisbon	Teresa Lisbon/The Mentalist	Teresa Lisbon/The Mentalist	https://compstorylab.org/archetypometrics/cards/The-Mentalist-Teresa-Lisbon-2000-464-341.pdf
640	Kimball Cho	Kimball Cho	Kimball Cho/The Mentalist	Kimball Cho/The Mentalist	https://compstorylab.org/archetypometrics/cards/The-Mentalist-Kimball-Cho-2000-464-341.pdf
641	Wayne Rigsby	Wayne Rigsby	Wayne Rigsby/The Mentalist	Wayne Rigsby/The Mentalist	https://compstorylab.org/archetypometrics/cards/The-Mentalist-Wayne-Rigsby-2000-464-341.pdf
642	Grace Van Pelt	Grace Van Pelt	Grace Van Pelt/The Mentalist	Grace Van Pelt/The Mentalist	https://compstorylab.org/archetypometrics/cards/The-Mentalist-Grace-Van-Pelt-2000-464-341.pdf
643	Red John	Red John	Red John/The Mentalist	Red John/The Mentalist	https://compstorylab.org/archetypometrics/cards/The-Mentalist-Red-John-2000-464-341.pdf
644	Lincoln Burrows	Lincoln Burrows	Lincoln Burrows/Prison Break	Lincoln Burrows/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-Lincoln-Burrows-2000-464-341.pdf
645	Michael Scofield	Michael Scofield	Michael Scofield/Prison Break	Michael Scofield/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-Michael-Scofield-2000-464-341.pdf
646	Veronica Donovan	Veronica Donovan	Veronica Donovan/Prison Break	Veronica Donovan/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-Veronica-Donovan-2000-464-341.pdf
647	Fernando Sucre	Fernando Sucre	Fernando Sucre/Prison Break	Fernando Sucre/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-Fernando-Sucre-2000-464-341.pdf
648	L.J. Burrows	L.J. Burrows	L.J. Burrows/Prison Break	L.J. Burrows/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-LJ-Burrows-2000-464-341.pdf
649	Brad Bellick	Brad Bellick	Brad Bellick/Prison Break	Brad Bellick/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-Brad-Bellick-2000-464-341.pdf
650	T-Bag Bagwell	T-Bag Bagwell	T-Bag Bagwell/Prison Break	T-Bag Bagwell/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-T-Bag-Bagwell-2000-464-341.pdf
651	Sara Tancredi	Sara Tancredi	Sara Tancredi/Prison Break	Sara Tancredi/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-Sara-Tancredi-2000-464-341.pdf
652	C-Note Franklin	C-Note Franklin	C-Note Franklin/Prison Break	C-Note Franklin/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-C-Note-Franklin-2000-464-341.pdf
653	John Abruzzi	John Abruzzi	John Abruzzi/Prison Break	John Abruzzi/Prison Break	https://compstorylab.org/archetypometrics/cards/Prison-Break-John-Abruzzi-2000-464-341.pdf
654	Jack Sparrow	Jack Sparrow	Jack Sparrow/Pirates of the Caribbean	Jack Sparrow/Pirates of the Caribbean	https://compstorylab.org/archetypometrics/cards/Pirates-of-the-Caribbean-Jack-Sparrow-2000-464-341.pdf
655	Hector Barbossa	Hector Barbossa	Hector Barbossa/Pirates of the Caribbean	Hector Barbossa/Pirates of the Caribbean	https://compstorylab.org/archetypometrics/cards/Pirates-of-the-Caribbean-Hector-Barbossa-2000-464-341.pdf
656	Joshamee Gibbs	Joshamee Gibbs	Joshamee Gibbs/Pirates of the Caribbean	Joshamee Gibbs/Pirates of the Caribbean	https://compstorylab.org/archetypometrics/cards/Pirates-of-the-Caribbean-Joshamee-Gibbs-2000-464-341.pdf
657	Will Turner	Will Turner	Will Turner/Pirates of the Caribbean	Will Turner/Pirates of the Caribbean	https://compstorylab.org/archetypometrics/cards/Pirates-of-the-Caribbean-Will-Turner-2000-464-341.pdf
658	Elizabeth Swann	Elizabeth Swann	Elizabeth Swann/Pirates of the Caribbean	Elizabeth Swann/Pirates of the Caribbean	https://compstorylab.org/archetypometrics/cards/Pirates-of-the-Caribbean-Elizabeth-Swann-2000-464-341.pdf
659	James Norrington	James Norrington	James Norrington/Pirates of the Caribbean	James Norrington/Pirates of the Caribbean	https://compstorylab.org/archetypometrics/cards/Pirates-of-the-Caribbean-James-Norrington-2000-464-341.pdf
660	Snow White	Snow White	Snow White/Snow White and the Seven Dwarfs	Snow White/Snow White and the Seven Dwarfs	https://compstorylab.org/archetypometrics/cards/Snow-White-and-the-Seven-Dwarfs-Snow-White-2000-464-341.pdf
661	The Queen	The Queen	The Queen/Snow White and the Seven Dwarfs	The Queen/Snow White and the Seven Dwarfs	https://compstorylab.org/archetypometrics/cards/Snow-White-and-the-Seven-Dwarfs-The-Queen-2000-464-341.pdf
662	Doc	Doc	Doc/Snow White and the Seven Dwarfs	Doc/Snow White and the Seven Dwarfs	https://compstorylab.org/archetypometrics/cards/Snow-White-and-the-Seven-Dwarfs-Doc-2000-464-341.pdf
663	Jonathan 'Gabe' Gabriel	Jonathan `Gabe' Gabriel	Jonathan 'Gabe' Gabriel/Penny Arcade	Jonathan 'Gabe' Gabriel/Penny Arcade	https://compstorylab.org/archetypometrics/cards/Penny-Arcade-Jonathan-Gabe-Gabriel-2000-464-341.pdf
664	Tycho Brahe	Tycho Brahe	Tycho Brahe/Penny Arcade	Tycho Brahe/Penny Arcade	https://compstorylab.org/archetypometrics/cards/Penny-Arcade-Tycho-Brahe-2000-464-341.pdf
665	Vincent Vega	Vincent Vega	Vincent Vega/Pulp Fiction	Vincent Vega/Pulp Fiction	https://compstorylab.org/archetypometrics/cards/Pulp-Fiction-Vincent-Vega-2000-464-341.pdf
666	Jules Winnfield	Jules Winnfield	Jules Winnfield/Pulp Fiction	Jules Winnfield/Pulp Fiction	https://compstorylab.org/archetypometrics/cards/Pulp-Fiction-Jules-Winnfield-2000-464-341.pdf
667	Mia Wallace	Mia Wallace	Mia Wallace/Pulp Fiction	Mia Wallace/Pulp Fiction	https://compstorylab.org/archetypometrics/cards/Pulp-Fiction-Mia-Wallace-2000-464-341.pdf
668	Ringo	Ringo	Ringo/Pulp Fiction	Ringo/Pulp Fiction	https://compstorylab.org/archetypometrics/cards/Pulp-Fiction-Ringo-2000-464-341.pdf
669	Marsellus Wallace	Marsellus Wallace	Marsellus Wallace/Pulp Fiction	Marsellus Wallace/Pulp Fiction	https://compstorylab.org/archetypometrics/cards/Pulp-Fiction-Marsellus-Wallace-2000-464-341.pdf
670	Butch Coolidge	Butch Coolidge	Butch Coolidge/Pulp Fiction	Butch Coolidge/Pulp Fiction	https://compstorylab.org/archetypometrics/cards/Pulp-Fiction-Butch-Coolidge-2000-464-341.pdf
671	Jennifer Check	Jennifer Check	Jennifer Check/Jennifer's Body	Jennifer Check/Jennifer's Body	https://compstorylab.org/archetypometrics/cards/Jennifers-Body-Jennifer-Check-2000-464-341.pdf
672	Anita 'Needy' Lesnicki	Anita `Needy' Lesnicki	Anita 'Needy' Lesnicki/Jennifer's Body	Anita 'Needy' Lesnicki/Jennifer's Body	https://compstorylab.org/archetypometrics/cards/Jennifers-Body-Anita-Needy-Lesnicki-2000-464-341.pdf
673	Chip Dove	Chip Dove	Chip Dove/Jennifer's Body	Chip Dove/Jennifer's Body	https://compstorylab.org/archetypometrics/cards/Jennifers-Body-Chip-Dove-2000-464-341.pdf
674	Destiny	Destiny	Destiny/Hustlers	Destiny/Hustlers	https://compstorylab.org/archetypometrics/cards/Hustlers-Destiny-2000-464-341.pdf
675	Ramona Vega	Ramona Vega	Ramona Vega/Hustlers	Ramona Vega/Hustlers	https://compstorylab.org/archetypometrics/cards/Hustlers-Ramona-Vega-2000-464-341.pdf
676	Elizabeth	Elizabeth	Elizabeth/Hustlers	Elizabeth/Hustlers	https://compstorylab.org/archetypometrics/cards/Hustlers-Elizabeth-2000-464-341.pdf
677	Frank Abagnale	Frank Abagnale	Frank Abagnale/Catch Me If You Can	Frank Abagnale/Catch Me If You Can	https://compstorylab.org/archetypometrics/cards/Catch-Me-If-You-Can-Frank-Abagnale-2000-464-341.pdf
678	Carl Hanratty	Carl Hanratty	Carl Hanratty/Catch Me If You Can	Carl Hanratty/Catch Me If You Can	https://compstorylab.org/archetypometrics/cards/Catch-Me-If-You-Can-Carl-Hanratty-2000-464-341.pdf
679	Ash Ketchum	Ash Ketchum	Ash Ketchum/Pokémon	Ash Ketchum/Pok\'{e}mon	https://compstorylab.org/archetypometrics/cards/Pokemon-Ash-Ketchum-2000-464-341.pdf
680	Misty	Misty	Misty/Pokémon	Misty/Pok\'{e}mon	https://compstorylab.org/archetypometrics/cards/Pokemon-Misty-2000-464-341.pdf
681	Brock	Brock	Brock/Pokémon	Brock/Pok\'{e}mon	https://compstorylab.org/archetypometrics/cards/Pokemon-Brock-2000-464-341.pdf
682	Professor Oak	Professor Oak	Professor Oak/Pokémon	Professor Oak/Pok\'{e}mon	https://compstorylab.org/archetypometrics/cards/Pokemon-Professor-Oak-2000-464-341.pdf
683	Jessie	Jessie	Jessie/Pokémon	Jessie/Pok\'{e}mon	https://compstorylab.org/archetypometrics/cards/Pokemon-Jessie-2000-464-341.pdf
684	Prince Hamlet	Prince Hamlet	Prince Hamlet/Hamlet	Prince Hamlet/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Prince-Hamlet-2000-464-341.pdf
685	Queen Gertrude	Queen Gertrude	Queen Gertrude/Hamlet	Queen Gertrude/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Queen-Gertrude-2000-464-341.pdf
686	King Claudius	King Claudius	King Claudius/Hamlet	King Claudius/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-King-Claudius-2000-464-341.pdf
687	Polonius	Polonius	Polonius/Hamlet	Polonius/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Polonius-2000-464-341.pdf
688	Ophelia	Ophelia	Ophelia/Hamlet	Ophelia/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Ophelia-2000-464-341.pdf
689	Horatio	Horatio	Horatio/Hamlet	Horatio/Hamlet	https://compstorylab.org/archetypometrics/cards/Hamlet-Horatio-2000-464-341.pdf
690	Serena van der Woodsen	Serena van der Woodsen	Serena van der Woodsen/Gossip Girl	Serena van der Woodsen/Gossip Girl	https://compstorylab.org/archetypometrics/cards/Gossip-Girl-Serena-van-der-Woodsen-2000-464-341.pdf
691	Blair Waldorf	Blair Waldorf	Blair Waldorf/Gossip Girl	Blair Waldorf/Gossip Girl	https://compstorylab.org/archetypometrics/cards/Gossip-Girl-Blair-Waldorf-2000-464-341.pdf
692	Dan Humphrey	Dan Humphrey	Dan Humphrey/Gossip Girl	Dan Humphrey/Gossip Girl	https://compstorylab.org/archetypometrics/cards/Gossip-Girl-Dan-Humphrey-2000-464-341.pdf
693	Nate Archibald	Nate Archibald	Nate Archibald/Gossip Girl	Nate Archibald/Gossip Girl	https://compstorylab.org/archetypometrics/cards/Gossip-Girl-Nate-Archibald-2000-464-341.pdf
694	Chuck Bass	Chuck Bass	Chuck Bass/Gossip Girl	Chuck Bass/Gossip Girl	https://compstorylab.org/archetypometrics/cards/Gossip-Girl-Chuck-Bass-2000-464-341.pdf
