index	character	character in latex	character/story	character/story in latex	card url
1273	John McClane	John McClane	John McClane/Die Hard	John McClane/Die Hard	https://compstorylab.org/archetypometrics/cards/Die-Hard-John-McClane-2000-464-341.pdf
1274	Hans Gruber	Hans Gruber	Hans Gruber/Die Hard	Hans Gruber/Die Hard	https://compstorylab.org/archetypometrics/cards/Die-Hard-Hans-Gruber-2000-464-341.pdf
1275	Holly Gennero-McClane	Holly Gennero-McClane	Holly Gennero-McClane/Die Hard	Holly Gennero-McClane/Die Hard	https://compstorylab.org/archetypometrics/cards/Die-Hard-Holly-Gennero-McClane-2000-464-341.pdf
1276	Johnny	Johnny	Johnny/The Room	Johnny/The Room	https://compstorylab.org/archetypometrics/cards/The-Room-Johnny-2000-464-341.pdf
1277	Lisa	Lisa	Lisa/The Room	Lisa/The Room	https://compstorylab.org/archetypometrics/cards/The-Room-Lisa-2000-464-341.pdf
1278	Mark	Mark	Mark/The Room	Mark/The Room	https://compstorylab.org/archetypometrics/cards/The-Room-Mark-2000-464-341.pdf
1279	Denny	Denny	Denny/The Room	Denny/The Room	https://compstorylab.org/archetypometrics/cards/The-Room-Denny-2000-464-341.pdf
1280	Peter	Peter	Peter/The Room	Peter/The Room	https://compstorylab.org/archetypometrics/cards/The-Room-Peter-2000-464-341.pdf
1281	Michelle	Michelle	Michelle/The Room	Michelle/The Room	https://compstorylab.org/archetypometrics/cards/The-Room-Michelle-2000-464-341.pdf
1282	Marcus Miles	Marcus Miles	Marcus Miles/Bad Boys	Marcus Miles/Bad Boys	https://compstorylab.org/archetypometrics/cards/Bad-Boys-Marcus-Miles-2000-464-341.pdf
1283	Mike Lowrey	Mike Lowrey	Mike Lowrey/Bad Boys	Mike Lowrey/Bad Boys	https://compstorylab.org/archetypometrics/cards/Bad-Boys-Mike-Lowrey-2000-464-341.pdf
1284	Selina Meyer	Selina Meyer	Selina Meyer/Veep	Selina Meyer/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Selina-Meyer-2000-464-341.pdf
1285	Amy Brookheimer	Amy Brookheimer	Amy Brookheimer/Veep	Amy Brookheimer/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Amy-Brookheimer-2000-464-341.pdf
1286	Gary Walsh	Gary Walsh	Gary Walsh/Veep	Gary Walsh/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Gary-Walsh-2000-464-341.pdf
1287	Dan Egan	Dan Egan	Dan Egan/Veep	Dan Egan/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Dan-Egan-2000-464-341.pdf
1288	Jonah Ryan	Jonah Ryan	Jonah Ryan/Veep	Jonah Ryan/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Jonah-Ryan-2000-464-341.pdf
1289	Mike McLintock	Mike McLintock	Mike McLintock/Veep	Mike McLintock/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Mike-McLintock-2000-464-341.pdf
1290	Betty Elms	Betty Elms	Betty Elms/Mulholland Drive	Betty Elms/Mulholland Drive	https://compstorylab.org/archetypometrics/cards/Mulholland-Drive-Betty-Elms-2000-464-341.pdf
1291	Rita	Rita	Rita/Mulholland Drive	Rita/Mulholland Drive	https://compstorylab.org/archetypometrics/cards/Mulholland-Drive-Rita-2000-464-341.pdf
1292	Leonard Hofstadter	Leonard Hofstadter	Leonard Hofstadter/The Big Bang Theory	Leonard Hofstadter/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Leonard-Hofstadter-2000-464-341.pdf
1293	Sheldon Cooper	Sheldon Cooper	Sheldon Cooper/The Big Bang Theory	Sheldon Cooper/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Sheldon-Cooper-2000-464-341.pdf
1294	Penny Hofstadter	Penny Hofstadter	Penny Hofstadter/The Big Bang Theory	Penny Hofstadter/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Penny-Hofstadter-2000-464-341.pdf
1295	Howard Wolowitz	Howard Wolowitz	Howard Wolowitz/The Big Bang Theory	Howard Wolowitz/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Howard-Wolowitz-2000-464-341.pdf
1296	Raj Koothrappali	Raj Koothrappali	Raj Koothrappali/The Big Bang Theory	Raj Koothrappali/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Raj-Koothrappali-2000-464-341.pdf
1297	Leslie Winkle	Leslie Winkle	Leslie Winkle/The Big Bang Theory	Leslie Winkle/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Leslie-Winkle-2000-464-341.pdf
1298	Bernadette Rostenkowski	Bernadette Rostenkowski	Bernadette Rostenkowski/The Big Bang Theory	Bernadette Rostenkowski/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Bernadette-Rostenkowski-2000-464-341.pdf
1299	Amy Farrah Fowler	Amy Farrah Fowler	Amy Farrah Fowler/The Big Bang Theory	Amy Farrah Fowler/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Amy-Farrah-Fowler-2000-464-341.pdf
1300	Stuart Bloom	Stuart Bloom	Stuart Bloom/The Big Bang Theory	Stuart Bloom/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Stuart-Bloom-2000-464-341.pdf
1301	Mary Cooper	Mary Cooper	Mary Cooper/The Big Bang Theory	Mary Cooper/The Big Bang Theory	https://compstorylab.org/archetypometrics/cards/The-Big-Bang-Theory-Mary-Cooper-2000-464-341.pdf
1302	Joel Barish	Joel Barish	Joel Barish/Eternal Sunshine of the Spotless Mind	Joel Barish/Eternal Sunshine of the Spotless Mind	https://compstorylab.org/archetypometrics/cards/Eternal-Sunshine-of-the-Spotless-Mind-Joel-Barish-2000-464-341.pdf
1303	Clementine Kruczynski	Clementine Kruczynski	Clementine Kruczynski/Eternal Sunshine of the Spotless Mind	Clementine Kruczynski/Eternal Sunshine of the Spotless Mind	https://compstorylab.org/archetypometrics/cards/Eternal-Sunshine-of-the-Spotless-Mind-Clementine-Kruczynski-2000-464-341.pdf
1304	Mary Svevo	Mary Svevo	Mary Svevo/Eternal Sunshine of the Spotless Mind	Mary Svevo/Eternal Sunshine of the Spotless Mind	https://compstorylab.org/archetypometrics/cards/Eternal-Sunshine-of-the-Spotless-Mind-Mary-Svevo-2000-464-341.pdf
1305	Li Mu Bai	Li Mu Bai	Li Mu Bai/Crouching Tiger, Hidden Dragon	Li Mu Bai/Crouching Tiger, Hidden Dragon	https://compstorylab.org/archetypometrics/cards/Crouching-Tiger-Hidden-Dragon-Li-Mu-Bai-2000-464-341.pdf
1306	Yu Shu Lien	Yu Shu Lien	Yu Shu Lien/Crouching Tiger, Hidden Dragon	Yu Shu Lien/Crouching Tiger, Hidden Dragon	https://compstorylab.org/archetypometrics/cards/Crouching-Tiger-Hidden-Dragon-Yu-Shu-Lien-2000-464-341.pdf
1307	Jen Yu	Jen Yu	Jen Yu/Crouching Tiger, Hidden Dragon	Jen Yu/Crouching Tiger, Hidden Dragon	https://compstorylab.org/archetypometrics/cards/Crouching-Tiger-Hidden-Dragon-Jen-Yu-2000-464-341.pdf
1308	Princess Ariel	Princess Ariel	Princess Ariel/The Little Mermaid	Princess Ariel/The Little Mermaid	https://compstorylab.org/archetypometrics/cards/The-Little-Mermaid-Princess-Ariel-2000-464-341.pdf
