85	Eternal Sunshine of the Spotless Mind	Emily in Paris	https://compstorylab.org/archetypometrics/cards/Emily-in-Paris-2000-464-341.pdf
86	Euphoria	A Tale of Two Cities	https://compstorylab.org/archetypometrics/cards/A-Tale-of-Two-Cities-2000-464-341.pdf
87	Ex Machina	Ex Machina	https://compstorylab.org/archetypometrics/cards/Ex-Machina-2000-464-341.pdf
88	Fahrenheit 451	The Silence of the Lambs	https://compstorylab.org/archetypometrics/cards/The-Silence-of-the-Lambs-2000-464-341.pdf
89	Farscape	Beauty and the Beast	https://compstorylab.org/archetypometrics/cards/Beauty-and-the-Beast-2000-464-341.pdf
90	Fast & Furious	The Godfather	https://compstorylab.org/archetypometrics/cards/The-Godfather-2000-464-341.pdf
91	Ferris Bueller's Day Off	Raiders of the Lost Ark	https://compstorylab.org/archetypometrics/cards/Raiders-of-the-Lost-Ark-2000-464-341.pdf
92	Fifty Shades of Grey	Harry Potter	https://compstorylab.org/archetypometrics/cards/Harry-Potter-2000-464-341.pdf
93	Fight Club	Ferris Bueller's Day Off	https://compstorylab.org/archetypometrics/cards/Ferris-Buellers-Day-Off-2000-464-341.pdf
94	Finding Nemo	Shadow and Bone	https://compstorylab.org/archetypometrics/cards/Shadow-and-Bone-2000-464-341.pdf
95	Firefly + Serenity	The Handmaid's Tale	https://compstorylab.org/archetypometrics/cards/The-Handmaids-Tale-2000-464-341.pdf
96	Fleabag	Crazy Rich Asians	https://compstorylab.org/archetypometrics/cards/Crazy-Rich-Asians-2000-464-341.pdf
97	Forrest Gump	Agents of S.H.I.E.L.D.	https://compstorylab.org/archetypometrics/cards/Agents-of-SHIELD-2000-464-341.pdf
98	Friday Night Lights	The Hangover	https://compstorylab.org/archetypometrics/cards/The-Hangover-2000-464-341.pdf
99	Friends	Locke \& Key	https://compstorylab.org/archetypometrics/cards/Locke-and-Key-2000-464-341.pdf
100	Frozen	Elizabethtown	https://compstorylab.org/archetypometrics/cards/Elizabethtown-2000-464-341.pdf
101	Fullmetal Alchemist: Brotherhood	Stranger Things	https://compstorylab.org/archetypometrics/cards/Stranger-Things-2000-464-341.pdf
102	Futurama	The Hunger Games	https://compstorylab.org/archetypometrics/cards/The-Hunger-Games-2000-464-341.pdf
103	Game of Thrones	Star Wars: Revenge of the Sith	https://compstorylab.org/archetypometrics/cards/Star-Wars-Revenge-of-the-Sith-2000-464-341.pdf
104	Get Out	Parks and Recreation	https://compstorylab.org/archetypometrics/cards/Parks-and-Recreation-2000-464-341.pdf
105	Ghostbusters	The Scarlet Letter	https://compstorylab.org/archetypometrics/cards/The-Scarlet-Letter-2000-464-341.pdf
